Date,Strawberry
9/19/2014,1.83
9/20/2014,1.831581042
9/21/2014,1.819441185
9/22/2014,1.83
9/23/2014,1.67
9/24/2014,1.67
9/25/2014,1.44
9/26/2014,1.44
9/27/2014,1.398081884
9/28/2014,1.37396507
9/29/2014,1.44
9/30/2014,1.44
10/1/2014,1.42
10/2/2014,1.42
10/3/2014,1.42
10/4/2014,1.423009977
10/5/2014,1.426909462
10/6/2014,1.44
10/7/2014,1.44
10/8/2014,1.61
10/9/2014,1.5
10/10/2014,1.44
10/11/2014,1.447647945
10/12/2014,1.441044525
10/13/2014,1.444163129
10/14/2014,1.33
10/15/2014,1.33
10/16/2014,1.33
10/17/2014,1.33
10/18/2014,1.330174342
10/19/2014,1.325644896
10/20/2014,1.33
10/21/2014,1.33
10/22/2014,1.33
10/23/2014,1.33
10/24/2014,1.33
10/25/2014,1.338275418
10/26/2014,1.342236683
10/27/2014,1.03
10/28/2014,1.22
10/29/2014,1.22
10/30/2014,1.44
10/31/2014,1.44
11/1/2014,1.465802834
11/2/2014,1.485554085
11/3/2014,1.67
11/4/2014,1.89
11/5/2014,1.89
11/6/2014,2.11
11/7/2014,2.11
11/8/2014,2.16618
11/9/2014,2.167028294
11/10/2014,2.22
11/11/2014,2.247769938
11/12/2014,2.44
11/13/2014,2.44
11/14/2014,2.44
11/15/2014,2.47491406
11/16/2014,2.50668107
11/17/2014,2.67
11/18/2014,2.67
11/19/2014,2.67
11/20/2014,2.67
11/21/2014,2.67
11/22/2014,2.688552365
11/23/2014,2.686444507
11/24/2014,2.67
11/25/2014,2.78
11/26/2014,2.78
11/27/2014,2.764450655
11/28/2014,2.78
11/29/2014,2.775855587
11/30/2014,2.782027349
12/1/2014,2.78
12/2/2014,2.785767422
12/3/2014,2.781451926
12/4/2014,3
12/5/2014,3
12/6/2014,2.973520086
12/7/2014,2.964317427
12/8/2014,3
12/9/2014,3
12/10/2014,2.89
12/11/2014,2.89
12/12/2014,2.89
12/13/2014,2.858427212
12/14/2014,2.844829307
12/15/2014,2.89
12/16/2014,2.860633955
12/17/2014,2.8531252
12/18/2014,2.835166917
12/19/2014,2.81851934
12/20/2014,2.808732495
12/21/2014,2.797173247
12/22/2014,2.786825464
12/23/2014,2.777068124
12/24/2014,2.769964561
12/25/2014,2.761612163
12/26/2014,2.754353569
12/27/2014,2.747278795
12/28/2014,2.741317317
12/29/2014,2.735326157
12/30/2014,2.73055558
12/31/2014,2.726566777
1/1/2015,2.722174213
1/2/2015,2.71854125
